Code,Name,Condition_Is_Categorical,Category
FLDS,Fields,true,High
FLDS,Fields,true,Moderate
FLDS,Fields,true,Slight
LP,Livestock Pasture,true,High
LP,Livestock Pasture,true,Moderate
LP,Livestock Pasture,true,Slight
LP,Livestock Pasture,true,No Potential
OLU,Other Land Use,true,No Potential
OLU,Other Land Use,true,High
OLU,Other Land Use,true,Moderate
OLU,Other Land Use,true,Slight
DOLU,Define Other Land Use,false,NULL
DATL,Describe the Amount and Type of Litter,false,NULL
ICPT,Indicate Current and Potential Threats,false,NULL
SCE,Stream Channel Erosion,true,Severe
SCE,Stream Channel Erosion,true,High
SCE,Stream Channel Erosion,true,Moderate
SCE,Stream Channel Erosion,true,Slight
SCE,Stream Channel Erosion,true,None
CW,Channel Width,false,NULL
AS.1,Area 1 Sampled,false,NULL
AS.2,Area 2 Sampled,false,NULL
AS.3,Area 3 Sampled,false,NULL
AS.4,Area 4 Sampled,false,NULL
NS,Number of Squirts,false,NULL
DP,Discharge Pipes,false,NULL
NDP,Number of Discharge Pipes,false,NULL
TP,Type of Pipes,false,NULL
P,Precipitation,true,None
P,Precipitation,true,Drizzle
P,Precipitation,true,Rain
BT,Bottom Type,true,Muddy
BT,Bottom Type,true,Rocky
