Parameter,Equipment,USEPA Approved Procedure,Units,CMC Code,Tier,Tier Justification,Analytical Method,Matrix,Tidal,Non Tidal?,Requires Sample Depth?,Requires Duplicate?,NonfatalLowerRange,NonfatalUpperRange,CBP Method,Precision,Accuracy,Range,In Situ Or Lab?,Qc Criteria?,Inspection Frequency,Inspection Type,Calibration Frequency,Standard Or Cal Instrument Used,,Holding Time,Sample Preservation
Air Temperature,Digital Thermometer (Ex. Hanna 98509),USEPA Method 170.1,deg C,AT.7,p,Missing QA procedures,Probe,Air,TRUE,TRUE,FALSE,TRUE,,,999,,,,,N/A,,,Before Each Use,,,,
Air Temperature,Multiparameter Probe (Ex. LaMotte 1761),USEPA Method 170.1,deg C,AT.3,2,"Verified against NIST verified thermometer, >10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,,N/A,N/A
Air Temperature,Multiparameter Probe (Ex. LaMotte 1761),USEPA Method 170.1,deg C,AT.12,p2,Historic dataset/not trained using CMC methods,Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,NIST Verified thermometer,,N/A,N/A
Air Temperature,Multiparameter Probe (Ex. LaMotte 1761),USEPA Method 170.1,deg C,AT.6,1,"Not verified against NIST Thermometer, <10% field reps",Probe,Air,TRUE,TRUE,FALSE,TRUE,-20,40,423,0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,N/A,,N/A,,N/A,,N/A,N/A
Air Temperature,Multiparameter Probe (Ex. LaMotte 1761),USEPA Method 170.1,deg C,AT.11,p1,Quality assurance procedures missing,Probe,,TRUE,TRUE,FALSE,FALSE,-20,40,423,0.1 deg C,+- 1.0 deg C,0 - 50 deg C,,<-20 deg C; >40 deg C,Before each use,Thermometer functions properly and reads approximate air temperature,Annually,Thermometer functions properly and reads approximate air temperature,,,
Air Temperature,Weather App,N/A,deg C,AT.8,1,,Probe,Air,FALSE,FALSE,FALSE,FALSE,,,999,,,,,,,,Before Each Use,,,,
Bromide (Drinking Water),Thermo Scientific Dionex Aquion Ion Chromatography System,US EPA 300.1 (Drinking Water),mg/L,BR.1,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,28 days,N/A
Chlorophyll a,Lab Analysis (Fluorometry),USEPA Method 445.0,ug/L,CHL.2,2,Certified lab/10% blank/>10% duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,200000,25,,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Chlorophyll a,Lab Analysis (Fluorometry),USEPA Method 445.0,ug/L,CHL.1,p2,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,200000,25,,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Chlorophyll a,Lab Analysis (Spectrophotometry),USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,ug/L,CHL.6,3,"Tier III approved QAPP, CBP Approved Lab and >10% blank/dups",Lab,Water,TRUE,FALSE,TRUE,TRUE,0,200000,23,,,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Chlorophyll a;b;c,Lab Analysis (Spectrophotometry),USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,ug/L,CHL.4,2,Certified lab/>10% blank/>10% duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,200000,23,<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Chlorophyll a;b;c,Lab Analysis (Spectrophotometry),USEPA Method 446.0; CBP Chlorophyll and Pheophytin methodology,ug/L,CHL.3,p2,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,200000,23,<= 20% RPD,N/A,,,<0; >200,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,30 days,Freeze to -20 C
Chloride (Drinking Water),Thermo Scientific Dionex Aquion Ion Chromatography System,US EPA 300.1 (Drinking Water),mg/L,CL.1,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,28 days,N/A
Conductivity,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),USEPA Method 120.1,uS/cm,CO.1,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,28 days,Cool; <= deg C
Conductivity,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),USEPA Method 120.1,uS/cm,CO.8,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,N/A,N/A,,N/A,N/A
Conductivity,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),USEPA Method 120.1,uS/cm,CO.4,1,"Calibration not completed, <10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),,,,,,,Before Each Use,84; 1;413; 12;880 uS/cm,,28 days,Cool; <= deg C
Conductivity,Individual Probe (ex. LaMotte 1749; Extech; HACH Pocket Tester 2686601),USEPA Method 120.1,mS/cm,CO.3,1,"Calibration not completed, <10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,28 days,Cool; <= deg C
Conductivity,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 120.1,uS/cm,CO.6,3,Tier III approved QAPP,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,28 days,Cool; <= deg C
Conductivity,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 120.1,mS/cm,CO.2,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,Before each use,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,28 days,Cool; <= deg C
Conductivity,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 120.1,uS/cm,CO.5,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,<0 mS; >20mS,,Meter functions properly; no sign of low battery; reading stabilizes; calibration solution has not expired,Before Each Use,84; 1;413; 12;880 uS/cm,,,
Conductivity,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 120.1,uS/cm,CO.9,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,,N/A,,N/A,N/A
Conductivity,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 120.1,uS/cm,CO.7,1,"Calibration not completed, <10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20000,242,0.1 uS/cm (0 - 199.9 uS/cm); 1.0 uS/cm (200 - 1999 uS/cm); 0.01 mS/cm (2.00 - 19.99 mS/cm),+- 2% FS,0 - 19.99 mS,,N/A,,N/A,N/A,N/A,,N/A,N/A
Dissolved Oxygen,LaMotte TestTabs (3976A),N/A,ppm,DO.17,p,VA DEQ method,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,10,999,4 ppm,,0-8ppm,,N/A,,N/A,N/A,N/A,,N/A,N/A
Dissolved Oxygen,Winkler Titration (LaMotte 5860),USEPA Method 360.2,mg/L,DO.1,2,"Standardized, >10% field reps",Kit,Water,TRUE,TRUE,FALSE,TRUE,0,20,50,0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,Before Each Use,Iodide-Iodate standard 0.00125 N (equivalent to 10 mg/L as DO,,8 hours after acidiciation,Immediate acidification
Dissolved Oxygen,Winkler Titration (LaMotte 5860),USEPA Method 360.2,mg/L,DO.12,p2,Historic Dataset,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,20,50,0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,Before Each Use,Iodide-Iodate standard 0.00125 N (equivalent to 10 mg/L as DO,,8 hours after acidiciation,Immediate acidification
Dissolved Oxygen,Winkler Titration (LaMotte 5860),USEPA Method 360.2,mg/L,DO.4,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,20,50,0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,Before each use,Glassware is clean and intact; reagents have not expired,N/A,Not standardized,,8 hours after acidiciation,Immediate acidification
Dissolved Oxygen,Winkler Titration (LaMotte 5860),USEPA Method 360.2,mg/L,DO.14,p1,historic data/QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,20,50,0.2 mg/L,0.6 mg/L,0 - 10+ mg/L,,<0 mg/L; >20 mg/L,,,Before Each Use,Not standardized,,8 hours after acidiciation,Immediate acidification
Dissolved Oxygen,Winkler Titration (LaMotte 5860),USEPA Method 360.2,mg/L,DO.13,p,Missing QA procedures,Kit,Water,TRUE,TRUE,FALSE,TRUE,0,20,999,,,,,N/A,,,Before Each Use,,,,
Dissolved Oxygen,"Individual Probe (ex. Oakton, Extech, Hanna)",USEPA Method 360.1,mg/L,DO.8,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Ã‚Â reading stabilizes;Ã‚Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,,
Dissolved Oxygen,"Individual Probe (ex. Oakton, Extech, Hanna)",USEPA Method 360.1,mg/L,DO.9,p2,Historic Dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,Unknown,,N/A,N/A,N/A,,N/A,N/A
Dissolved Oxygen,"Individual Probe (ex. Oakton, Extech, Hanna)",USEPA Method 360.1,mg/L,DO.10,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,N/A,,N/A,N/A,N/A,,N/A,N/A
Dissolved Oxygen,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,mg/L,DO.5,3,Tier III approved QAPP,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
Dissolved Oxygen,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,mg/L,DO.2,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
Dissolved Oxygen,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,mg/L,DO.7,p2,Historic Dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,Unknown,,N/A,N/A,N/A,,,
Dissolved Oxygen,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,mg/L,DO.11,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,20,48,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,N/A,,N/A,N/A,N/A,,N/A,N/A
Dissolved Oxygen % Sat,"Individual Probe (ex. Oakton, Extech, Hanna)",USEPA Method 360.1,pct,DO.15,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,150,54,0.01 mg/L,,+- 2% FS,,0 - 20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
Dissolved Oxygen % Sat,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,pct,DO.6,3,Tier III approved QAPP,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,150,54,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
Dissolved Oxygen % Sat,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,pct,DO.3,2,"Calibration, >10% field reps",Probe,Water,TRUE,TRUE,TRUE,TRUE,0,150,54,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
Dissolved Oxygen % Sat,"Multiprobe Sonde (ex. YSI, Hydrolab)",USEPA Method 360.1,pct,DO.16,1,QA measures not fulfilled: calibration/standardization not completed or; glassware not washed or; <10% field reps,Probe,Water,TRUE,TRUE,TRUE,TRUE,0,150,54,0.01 mg/L,+- 2% FS,0 - 20 mg/L,,<0 mg/L; >20 mg/L,Before each use,Meter functions properly; no sign of low battery;Â reading stabilizes;Â DO membrane clean and intact,Before Each Use,100% air saturated water or water saturated air.,,N/A,N/A
E.coli,R-Card ECC,R-Card ECC,CFU,ECOLI.7,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,Incubate your sample at 35Â±0.5Â°C for 15-24 hours,,N/A,N/A,N/A,,N/A,N/A
E.coli,Coliscan Easy Gel,See CMC Methods Manual,CFU,ECOLI.1,1,N/A,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,2419,446,20 CFU/100mL,log(0.6),<20 CFU/100mL to ,,,Before each use,Collection bottles and plates remain sterile; media and plates have not expired,N/A,N/A,,,
E.coli,Coliscan Easy Gel,See CMC Methods Manual,CFU,ECOLI.2,p1,Historic Dataset,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,2419,446,20 CFU/100mL,log(0.6),<20 CFU/100mL to,,,Before each use,Collection bottles and plates remain sterile; media and plates have not expired,N/A,N/A,,N/A,N/A
E.coli,Coliscan Easy Gel,See CMC Methods Manual,CFU,ECOLI.3,p,Missing QA procedures,Kit,Water,FALSE,TRUE,FALSE,TRUE,0,2419,999,,,,,N/A,,,,,,,
E.coli,IDEXX Colilert,Colilert; SM9223B,MPN,ECOLI.4,2,Certified/approved lab/>10% blank/duplicate,Lab,Water,FALSE,TRUE,FALSE,TRUE,0,2420,447,1 E. Coli/100ml,log(0.6),<1 MPN/100ml to >2419.6,,"0 E/100 ml; >2,500 E/100ml",Before each use,"Collection bottles and Quanti-trays remain sterile, media is free flowing. Incubator at 35 +/-0.5 C",Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult),,6 hours,"cool, <=4 deg C"
E.coli,IDEXX Colilert,Colilert; SM9223B,MPN,ECOLI.5,p2,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,Lab,Water,FALSE,TRUE,FALSE,TRUE,0,2420,447,1 E. Coli/100ml,log(0.6),<1 MPN/100ml to >2419.6,,"0 E/100 ml; >2,500 E/100ml",Before each use,"Collection bottles and Quanti-trays remain sterile, media is free flowing. Incubator at 35 +/-0.5 C",Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult),,24 hours,"cool, <=4 deg C"
Enterococcus,IDEXX Enterolert,ASTM Method (#D6503-99),MPN,ENT.1,2,Certified Lab and >10% Blanks/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,2419,999,1 enterococci/100 mL  ,,1-2;419 enterococci/100 mL  ,,<0 E/100 mL; >2;500 E/100mL,Before each use,Sample collection bottles and Quanti-Tray are sterile and intact,Before Each Use,Blank and Postive/negative controls using known quantiy of organisms (e.g. QuantiCult) ,,,
Enterococcus,IDEXX Enterolert,ASTM Method (#D6503-99),MPN,ENT.3,p2,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,2419,999,1 enterococci/100 mL,,1-2;419 enterococci/100 mL,,<0 E/100 mL; >2;500 E/100mL,,,Before Each Use,,,,
Enterococcus,Membrane Filtration; m-EI prepared Agar Plates,USEPA Method 1600,CFU,ENT.2,2,Certified Lab and >10% Blanks/Dups,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,2419,448,Dependent on dilution,,Dependent on dilution,,<0 E/100 mL; >2;500 E/100mL,Before each use,All equipment is intact and operational,N/A,N/A,,,
Enterococcus,Membrane Filtration; m-EI prepared Agar Plates,USEPA Method 1600,CFU,ENT.4,p2,QA measures not fulfilled: Not certified lab or <10% blank/duplicate,Lab,Water,TRUE,FALSE,TRUE,TRUE,0,,999,Dependent on dilution,,Dependent on dilution,,<0 E/100 mL; >2;500 E/100mL,Before each use,All equipment is intact and operational,N/A,N/A,,,
Fecal Coliform,Lab Analysis,Fecal Coliform Membrane Filter Procedure. 9222G.,CFU,FC.1,p,Not in CMC approved QAPPs/SOPs,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,Before Each Use,,,6hrs,
Flouride (Drinking Water),Thermo Scientific Dionex Aquion Ion Chromatography System,USEPA 300.1 (Drinking Water),mg/L,FL.1,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,28 days,N/A
Ammonia,Field Colorimeter (ex. Hach),N/A,mg/L,NH4N.2,p1,Not included in CMC SOP/QAPP,Probe,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,,
Ammonia,Specific to individual lab,USEPA Method  350.1 (non-tidal) / 349.0 (tidal),mg/L,NH4N.1,2,Certified Lab and >10% Blank/Dup,Lab,Water,TRUE,TRUE,TRUE,TRUE,,,123,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,,Before Each Use,Calibrate using known standards covering entire range of expected values,,Dependendent on preservation method - 28 days maximum,Cool; <= deg C (48 hours); Add H2SO4 to pH < 2 and Cool; <= deg C (7 days); Add H2SO4 to pH < 2 and freeze to -20deg  C (28 days)
Ammonia,Specific to individual lab,USEPA Method  350.1 (non-tidal) / 349.0 (tidal),mg/L,NH4N.3,p2,QA measures not fulfilled: Not approved lab or <10% blank/dup,Lab,Water,TRUE,TRUE,TRUE,TRUE,,,123,<= 20% RPD,Varies depending on lab equipment,Varies depending on lab equipment,,>TN,,N/A,,N/A,,N/A,N/A
Nitrite-nitrogen,Thermo Scientific Dionex Aquion Ion Chromatography System,USEPA 300.1 (Drinking Water),mg/L,NO2N.1,p,Drinking Water Method,Lab,Water,TRUE,TRUE,FALSE,TRUE,,,999,,,,,,,,,,,48 hrs,Cool to 4 deg C
Nitrite,Field Colorimeter (ex. Hanna HI 707 Digital Checker),See CMC Methods Manual,ppb,NO2NO3.6,2,"Acid-wash glassware, standardized, >10% dups",Probe,Water,TRUE,TRUE,FALSE,TRUE,0,600,999,1 ppb,Â±20 ppb Â±5% of reading,0 to 600 ppb NOâ€š-N,,0 to 50Â°C (32 to 122Â°F); RH max 95% non-condensing,Before each use,Glassware is clean and intact; reagents have not expired; checker functions properly; no sign of low battery,Before Each Use,sealed vials of 0 & 1 mg/L standards,,,
Nitrite,Field Colorimeter (ex. Hanna HI 707 Digital Checker),See CMC Methods Manual,ppb,NO2NO3.5,p2,Historic dataset/not trained using CMC methods,Probe,Water,TRUE,TRUE,FALSE,TRUE,0,600,999,1 ppb,Â±20 ppb Â±5% of reading,0 to 600 ppb NOâ€š-N,,N/A,,N/A,,N/A,,N/A,N/A
